Voltage,Counter,Ref,Curr_mA 1,Curr_mA 2,Curr_mA 3,Curr_mA 4,Curr_mA 5,Curr_mA 6,Curr_mA 7,Curr_mA 8,Curr_mA 9,Curr_mA 10,Curr_mA 11,Curr_mA 12,Curr_mA 13,Curr_mA 14,Curr_mA 15,Curr_mA 16, Curr_mA 17, Curr_mA 18, Curr_mA 19, Curr_mA 20, Curr_mA 21, Curr_mA 22, Curr_mA 23, Curr_mA 24
1.5787036,1.0,2.0,-18.137276,-5.6475506,-3.0596967,-0.6480845,-0.10668813,-0.119058095,-0.026027737,-0.02698671,-0.023360336,-0.023481216,-0.02385997,-0.023763265,-0.023070225,-0.023440924,-0.023457041,-0.023118578,-0.022167664,-0.022022607,-0.022892937,-0.022876821,-0.02144239,-0.021563267,-0.021531034,-0.021402096
1.5532408,1.0,2.0,-18.133266,-5.596803,-3.0084462,-0.63735163,-0.10593879,-0.11859081,-0.025789225,-0.026756259,-0.023129882,-0.023242705,-0.023565048,-0.023516698,-0.022847833,-0.02321853,-0.023210471,-0.022888126,-0.021945266,-0.021784095,-0.022646368,-0.022654425,-0.021203876,-0.021308638,-0.021268344,-0.021139408
1.5277779,1.0,2.0,-17.64574,-5.496333,-2.9185145,-0.61821723,-0.10418214,-0.11578653,-0.025244486,-0.026251812,-0.0227302,-0.022891374,-0.023165364,-0.023108954,-0.022415914,-0.022818845,-0.022810785,-0.022528734,-0.02164229,-0.021497233,-0.022246685,-0.022246685,-0.020925073,-0.020989543,-0.020965366,-0.020860603
1.5023148,1.0,2.0,-17.574574,-5.4815917,-2.895469,-0.61228514,-0.102908984,-0.11535953,-0.02525579,-0.026214764,-0.022604506,-0.02270927,-0.023079965,-0.022999378,-0.022306338,-0.02270927,-0.022628684,-0.022378867,-0.021500478,-0.021266777,-0.022056522,-0.022104874,-0.020630147,-0.020734912,-0.020718794,-0.02061403
1.4768519,1.0,2.0,-17.476547,-5.4068403,-2.801508,-0.59315073,-0.10195818,-0.114328146,-0.024888339,-0.025839254,-0.022309585,-0.022430463,-0.022736693,-0.02268834,-0.022043653,-0.022422405,-0.022357935,-0.022083946,-0.021157203,-0.021020208,-0.021801895,-0.021793833,-0.020391636,-0.020464163,-0.020472221,-0.02031911
1.4513888,1.0,2.0,-16.962156,-5.333803,-2.7075467,-0.57264465,-0.100120924,-0.1118059,-0.024448361,-0.025455687,-0.021950193,-0.022054954,-0.02236924,-0.022345064,-0.02161979,-0.022054954,-0.022006603,-0.021740668,-0.020886455,-0.020749459,-0.021394148,-0.021378031,-0.020137005,-0.020249825,-0.02016924,-0.020072537
1.4259257,1.0,2.0,-16.924568,-5.30706,-2.6587136,-0.5620831,-0.09917011,-0.11149979,-0.024427429,-0.025378346,-0.021856733,-0.02193732,-0.022259664,-0.022219371,-0.02153439,-0.021929258,-0.021832557,-0.021582741,-0.020704353,-0.020510945,-0.021252336,-0.021252336,-0.019866256,-0.019954901,-0.019914608,-0.01979373
1.4004631,1.0,2.0,-16.79968,-5.2254505,-2.5494416,-0.5405483,-0.09801786,-0.11006548,-0.023939105,-0.02488196,-0.021489287,-0.021610165,-0.02193251,-0.021892216,-0.021207236,-0.021594048,-0.021553755,-0.021287823,-0.020385256,-0.020240203,-0.020949358,-0.020917125,-0.019595513,-0.0196761,-0.019643866,-0.019547163
1.375,1.0,2.0,-16.386023,-5.169559,-2.4852972,-0.5260433,-0.09626119,-0.107825294,-0.02370059,-0.024675682,-0.021234656,-0.021331359,-0.021629527,-0.021573117,-0.020896195,-0.021323299,-0.021250773,-0.021009013,-0.020162858,-0.020001687,-0.020557733,-0.020573849,-0.019332824,-0.01941341,-0.019381177,-0.019292532
1.375,1.0,2.0,-16.513617,-5.1764174,-2.463539,-0.5212424,-0.09670441,-0.10907438,-0.02381341,-0.024756268,-0.021323299,-0.021468356,-0.021750407,-0.021693997,-0.021081543,-0.021420002,-0.021355534,-0.02104931,-0.020138683,-0.01999363,-0.020638319,-0.020654434,-0.019324765,-0.019429527,-0.019397294,-0.019268356
1.4004631,1.0,2.0,-16.66537,-5.20659,-2.390687,-0.5072852,-0.09789698,-0.109340206,-0.02372958,-0.02470467,-0.02141676,-0.021553755,-0.021835806,-0.021787455,-0.021150826,-0.02152152,-0.021489287,-0.021215294,-0.020377196,-0.020224085,-0.020788187,-0.020788187,-0.019579396,-0.019651925,-0.019627748,-0.019531045
1.4259257,1.0,2.0,-16.81712,-5.2693386,-2.3968089,-0.5061872,-0.09896865,-0.11049245,-0.02413732,-0.025096295,-0.021800322,-0.021856733,-0.022154901,-0.022122666,-0.021461861,-0.021856733,-0.021768088,-0.02152633,-0.020655999,-0.02048677,-0.021002522,-0.02101864,-0.019858198,-0.019979078,-0.019898493,-0.019801788
1.4513888,1.0,2.0,-17.190485,-5.330374,-2.363444,-0.49891692,-0.10036268,-0.112531185,-0.024432244,-0.025350926,-0.022095246,-0.022151656,-0.022482062,-0.022441769,-0.021821255,-0.022167774,-0.022103304,-0.021813197,-0.020902572,-0.020733342,-0.021305503,-0.021361914,-0.020104771,-0.020145064,-0.020145064,-0.020048361
1.4768519,1.0,2.0,-17.261652,-5.3331127,-2.2849512,-0.48410234,-0.101474665,-0.11243437,-0.024340356,-0.025339622,-0.022156471,-0.022261234,-0.02257552,-0.02251911,-0.021850245,-0.022228999,-0.022245117,-0.021995299,-0.021149144,-0.02094768,-0.021447316,-0.021455374,-0.020343285,-0.020375518,-0.020383578,-0.02031105
1.5023148,1.0,2.0,-17.453695,-5.423295,-2.2951026,-0.4867766,-0.102788106,-0.11411045,-0.024788389,-0.025731247,-0.022548096,-0.022685094,-0.022967143,-0.022959085,-0.022225752,-0.022701211,-0.022548096,-0.022314396,-0.021419892,-0.021202309,-0.021750296,-0.021718059,-0.020549562,-0.020646267,-0.020662384,-0.02055762
1.5277779,1.0,2.0,-17.867353,-5.4637556,-2.3181481,-0.4925372,-0.10422243,-0.11602829,-0.025010787,-0.02592141,-0.022826903,-0.02290749,-0.023205657,-0.023165364,-0.022528734,-0.02291555,-0.022834962,-0.02260932,-0.02169064,-0.021489175,-0.022069395,-0.022077452,-0.020900898,-0.020884778,-0.020900898,-0.020844486
1.5532408,1.0,2.0,-17.83107,-5.4733524,-2.3137941,-0.49263957,-0.10517323,-0.11568971,-0.024967246,-0.025918161,-0.022976771,-0.023041239,-0.02332329,-0.023258822,-0.02255772,-0.023017064,-0.022960654,-0.02273501,-0.021880798,-0.02171157,-0.022154793,-0.022146735,-0.021099115,-0.021163583,-0.02112329,-0.02101853
1.5787036,1.0,2.0,-18.103699,-5.5618205,-2.34651,-0.499086,-0.106647834,-0.11805077,-0.025415283,-0.026374256,-0.02333616,-0.023432866,-0.023722973,-0.023690738,-0.023054108,-0.023384513,-0.02333616,-0.023062168,-0.022183781,-0.022014549,-0.022425538,-0.022425538,-0.021329567,-0.021450449,-0.021394037,-0.021289274
1.6041665,1.0,2.0,-18.456917,-5.5868487,-2.3784196,-0.5058753,-0.108122446,-0.11944479,-0.02555709,-0.026516065,-0.023566613,-0.023671374,-0.023921192,-0.023905074,-0.02329262,-0.023631081,-0.023606906,-0.023308737,-0.022462582,-0.02219665,-0.022704344,-0.022704344,-0.021576138,-0.021632547,-0.021640606,-0.021551961
1.6296296,1.0,2.0,-18.434067,-5.6153064,-2.3772893,-0.5059777,-0.10891209,-0.11894505,-0.025553847,-0.026545055,-0.02367619,-0.023829304,-0.02407912,-0.024014652,-0.023369962,-0.023764834,-0.023748718,-0.023458607,-0.022668863,-0.022435164,-0.022830036,-0.02280586,-0.021863002,-0.021895237,-0.021895237,-0.021846885
1.6550927,1.0,2.0,-18.773853,-5.6471934,-2.4148402,-0.5137958,-0.11026583,-0.12086289,-0.025816536,-0.02671104,-0.024124227,-0.024220929,-0.024454629,-0.024438512,-0.023809941,-0.024180636,-0.024116168,-0.023842178,-0.022955727,-0.02271397,-0.02312496,-0.02312496,-0.02213375,-0.022206279,-0.022165986,-0.0220854
